column_name,observed_type,required_by_public_script,expected_r_type,description,observed_missing_count,source_status,notes
종목,character,YES,character,Stock identifier/name used by the fixed sector_map.,0,SOURCE_CONFIRMATION_REQUIRED,Required by src/predict_monthly_returns.R.
일자,date-like text,YES,Date (ISO YYYY-MM-DD),Trading date.,0,SOURCE_CONFIRMATION_REQUIRED,Required by src/predict_monthly_returns.R.
종가,numeric-like text,NO,Not required by the public script,Closing price; currency/unit requires source confirmation.,0,SOURCE_CONFIRMATION_REQUIRED,Observed in the historical integrated table; not required by the public script.
대비,numeric-like text,NO,Not required by the public script,Change from the previous trading day; unit requires source confirmation.,0,SOURCE_CONFIRMATION_REQUIRED,Observed in the historical integrated table; not required by the public script.
등락률,numeric-like text,NO,Not required by the public script,Price change rate; stored unit requires source confirmation.,0,SOURCE_CONFIRMATION_REQUIRED,Observed in the historical integrated table; not required by the public script.
시가,numeric-like text,NO,Not required by the public script,Opening price; currency/unit requires source confirmation.,0,SOURCE_CONFIRMATION_REQUIRED,Observed in the historical integrated table; not required by the public script.
고가,numeric-like text,NO,Not required by the public script,Daily high price; currency/unit requires source confirmation.,0,SOURCE_CONFIRMATION_REQUIRED,Observed in the historical integrated table; not required by the public script.
저가,numeric-like text,NO,Not required by the public script,Daily low price; currency/unit requires source confirmation.,0,SOURCE_CONFIRMATION_REQUIRED,Observed in the historical integrated table; not required by the public script.
거래량,numeric-like text,NO,Not required by the public script,Trading volume; unit requires source confirmation.,0,SOURCE_CONFIRMATION_REQUIRED,Observed in the historical integrated table; not required by the public script.
거래대금,numeric-like text,NO,Not required by the public script,Trading value; currency/unit requires source confirmation.,0,SOURCE_CONFIRMATION_REQUIRED,Observed in the historical integrated table; not required by the public script.
시가총액,numeric-like text,NO,Not required by the public script,Market capitalization; currency/unit requires source confirmation.,0,SOURCE_CONFIRMATION_REQUIRED,Observed in the historical integrated table; not required by the public script.
상장주식수,numeric-like text,NO,Not required by the public script,Number of listed shares.,0,SOURCE_CONFIRMATION_REQUIRED,Observed in the historical integrated table; not required by the public script.
외국인 보유수량,character,NO,Not required by the public script,Foreign-investor shareholding quantity.,0,SOURCE_CONFIRMATION_REQUIRED,Observed in the historical integrated table; not required by the public script.
외국인 지분율,numeric-like text,NO,Not required by the public script,Foreign ownership ratio; stored unit requires confirmation.,3,SOURCE_CONFIRMATION_REQUIRED,Observed in the historical integrated table; not required by the public script.
외국인 한도수량,character,NO,Not required by the public script,Foreign ownership limit quantity.,0,SOURCE_CONFIRMATION_REQUIRED,Observed in the historical integrated table; not required by the public script.
외국인 한도소진율,character,NO,Not required by the public script,Foreign ownership limit utilization rate; stored unit requires confirmation.,0,SOURCE_CONFIRMATION_REQUIRED,Observed in the historical integrated table; not required by the public script.
ret,numeric-like text,YES,double,Stock return used by the public implementation; definition and unit require confirmation.,0,SOURCE_CONFIRMATION_REQUIRED,Required by src/predict_monthly_returns.R.
fore_chg,numeric-like text,YES,double,Change in foreign ownership ratio; construction and unit require confirmation.,0,SOURCE_CONFIRMATION_REQUIRED,Required by src/predict_monthly_returns.R.
CNY,numeric-like text,NO,Not required by the public script,CNY/KRW exchange-rate level; quote convention requires confirmation.,0,SOURCE_CONFIRMATION_REQUIRED,Observed in the historical integrated table; not required by the public script.
EUR,numeric-like text,NO,Not required by the public script,EUR/KRW exchange-rate level; quote convention requires confirmation.,0,SOURCE_CONFIRMATION_REQUIRED,Observed in the historical integrated table; not required by the public script.
JPY100,numeric-like text,NO,Not required by the public script,JPY(100)/KRW exchange-rate level; quote convention requires confirmation.,0,SOURCE_CONFIRMATION_REQUIRED,Observed in the historical integrated table; not required by the public script.
USD,numeric-like text,NO,Not required by the public script,USD/KRW exchange-rate level; quote convention requires confirmation.,0,SOURCE_CONFIRMATION_REQUIRED,Observed in the historical integrated table; not required by the public script.
CNY_ret,numeric-like text,NO,Not required by the public script,CNY/KRW return; construction and unit require confirmation.,0,SOURCE_CONFIRMATION_REQUIRED,Observed in the historical integrated table; not required by the public script.
EUR_ret,numeric-like text,NO,Not required by the public script,EUR/KRW return; construction and unit require confirmation.,0,SOURCE_CONFIRMATION_REQUIRED,Observed in the historical integrated table; not required by the public script.
JPY100_ret,numeric-like text,NO,Not required by the public script,JPY(100)/KRW return; construction and unit require confirmation.,0,SOURCE_CONFIRMATION_REQUIRED,Observed in the historical integrated table; not required by the public script.
USD_ret,numeric-like text,YES,double,USD/KRW return used by the public implementation; construction and unit require confirmation.,0,SOURCE_CONFIRMATION_REQUIRED,Required by src/predict_monthly_returns.R.
